,매장명,구,주소,위도,경도
259,세이브존노원점,노원구,"서울 노원구 한글비석로 57 (하계동, 세이브존)",37.636639,127.0684032
260,수락산역점,노원구,"서울 노원구 동일로 1689 (상계동, 하이베라스)",37.67918909999999,127.0549866
261,원자력병원점,노원구,서울 노원구 공릉로46길 6 (공릉동),37.6269138,127.0796292
262,월계이마트점,노원구,"서울 노원구 마들로3길 15 (월계동, 월계이마트)",37.6265118,127.0619079
263,월계인덕점,노원구,서울 노원구 광운로22길 39 (월계동),37.6285729,127.0592566
264,월계초교점,노원구,서울 노원구 월계동 ,37.6277451,127.0568215
265,은행사거리점,노원구,서울 노원구 중계로 201 (중계동),37.6504368,127.0777536
266,중계롯데우성점,노원구,서울 노원구 노원로22길 70 (중계동),37.6475922,127.0726622
267,중계본동점,노원구,서울 노원구 중계로14바길 2 (중계동),37.6498409,127.0825681
268,중계브라운스톤점,노원구,"서울 노원구 동일로203가길 29 (중계동, 브라운스톤중계)",37.6400147,127.0642892
269,중계점,노원구,서울 노원구 동일로204가길 34 (중계동),37.6406859,127.0681273
270,중계중앙점,노원구,서울 노원구 덕릉로73길 18 (중계동),37.6521367,127.0723076
271,태릉입구역점,노원구,"서울 노원구 공릉로 105 (공릉동, 성종빌딩)",37.6195756,127.077871
272,하계온천점,노원구,서울 노원구 노원로 257 (하계동),37.6401942,127.0727915
273,하계을지점,노원구,서울 노원구 공릉로 326 (하계동),37.6358505,127.0711596
274,덕성여대점,도봉구,서울 도봉구 삼양로 542 (쌍문동),37.6515523,127.0129588
275,도봉구청점,도봉구,"서울 도봉구 도봉로150길 43 (방학동, ESA 아파트)",37.6687735,127.0455156
276,도봉보건소사거리점,도봉구,서울 도봉구 해등로 157 (쌍문동),37.6567466,127.0388047
277,도봉산점,도봉구,서울 도봉구 도봉산길 18 (도봉동),37.6859515,127.0362049
278,도봉역점,도봉구,서울 도봉구 도봉로 823 (도봉동),37.6778789,127.0447434
